src_ip,dst_ip,proto,size
10.0.0.227,10.0.0.255,UDP,110
10.0.0.227,10.0.0.255,UDP,110
10.0.0.227,10.0.0.10,UDP,127
10.0.0.10,10.0.0.227,UDP,193
10.0.0.227,10.0.0.10,UDP,90
10.0.0.10,10.0.0.227,UDP,106
10.0.0.227,10.0.0.10,UDP,224
10.0.0.10,10.0.0.227,UDP,212
10.0.0.227,10.0.0.10,UDP,184
10.0.0.10,10.0.0.227,UDP,212
10.0.0.227,224.0.0.22,Other,54
10.0.0.227,10.0.0.10,TCP,66
10.0.0.10,10.0.0.227,TCP,66
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,214
10.0.0.10,10.0.0.227,TCP,162
10.0.0.227,10.0.0.10,TCP,222
10.0.0.10,10.0.0.227,TCP,322
10.0.0.227,10.0.0.10,TCP,66
10.0.0.10,10.0.0.227,TCP,66
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,214
10.0.0.10,10.0.0.227,TCP,162
10.0.0.227,10.0.0.10,TCP,244
10.0.0.10,10.0.0.227,TCP,90
10.0.0.227,10.0.0.10,TCP,314
10.0.0.10,10.0.0.227,TCP,98
10.0.0.227,10.0.0.10,TCP,202
10.0.0.10,10.0.0.227,TCP,130
10.0.0.227,10.0.0.10,TCP,334
10.0.0.10,10.0.0.227,TCP,174
10.0.0.227,10.0.0.10,TCP,1038
10.0.0.10,10.0.0.227,TCP,1054
10.0.0.227,10.0.0.10,TCP,66
10.0.0.10,10.0.0.227,TCP,66
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,398
10.0.0.10,10.0.0.227,TCP,1514
10.0.0.10,10.0.0.227,TCP,947
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,66
10.0.0.10,10.0.0.227,TCP,66
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,299
10.0.0.10,10.0.0.227,TCP,348
10.0.0.227,10.0.0.10,TCP,54
10.0.0.10,10.0.0.227,TCP,54
10.0.0.10,10.0.0.227,TCP,54
10.0.0.227,10.0.0.10,TCP,66
10.0.0.10,10.0.0.227,TCP,66
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,379
10.0.0.10,10.0.0.227,TCP,1514
10.0.0.10,10.0.0.227,TCP,210
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,54
10.0.0.10,10.0.0.227,TCP,54
10.0.0.10,10.0.0.227,TCP,54
10.0.0.227,10.0.0.10,TCP,66
10.0.0.10,10.0.0.227,TCP,66
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,1514
10.0.0.227,10.0.0.10,TCP,230
10.0.0.10,10.0.0.227,TCP,54
10.0.0.10,10.0.0.227,TCP,1514
10.0.0.10,10.0.0.227,TCP,210
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,54
10.0.0.10,10.0.0.227,TCP,54
10.0.0.10,10.0.0.227,TCP,54
10.0.0.227,10.0.0.10,TCP,1514
10.0.0.227,10.0.0.10,TCP,341
10.0.0.10,10.0.0.227,TCP,54
10.0.0.10,10.0.0.227,TCP,257
10.0.0.227,10.0.0.10,TCP,191
10.0.0.10,10.0.0.227,TCP,220
10.0.0.227,10.0.0.10,TCP,248
10.0.0.10,10.0.0.227,TCP,642
10.0.0.227,10.0.0.10,UDP,132
10.0.0.10,10.0.0.227,UDP,198
10.0.0.227,10.0.0.10,UDP,164
10.0.0.10,10.0.0.227,UDP,217
10.0.0.227,10.0.0.10,TCP,66
10.0.0.10,10.0.0.227,TCP,66
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,213
10.0.0.10,10.0.0.227,TCP,306
10.0.0.227,10.0.0.10,TCP,162
10.0.0.10,10.0.0.227,TCP,306
10.0.0.227,10.0.0.10,TCP,66
10.0.0.10,10.0.0.227,TCP,66
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,299
10.0.0.10,10.0.0.227,TCP,349
10.0.0.227,10.0.0.10,TCP,54
10.0.0.10,10.0.0.227,TCP,54
10.0.0.10,10.0.0.227,TCP,54
10.0.0.227,10.0.0.10,TCP,66
10.0.0.10,10.0.0.227,TCP,66
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,379
10.0.0.10,10.0.0.227,TCP,1514
10.0.0.10,10.0.0.227,TCP,210
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,54
10.0.0.10,10.0.0.227,TCP,54
10.0.0.10,10.0.0.227,TCP,54
10.0.0.227,10.0.0.10,TCP,66
10.0.0.10,10.0.0.227,TCP,66
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,1514
10.0.0.227,10.0.0.10,TCP,230
10.0.0.10,10.0.0.227,TCP,54
10.0.0.10,10.0.0.227,TCP,1514
10.0.0.10,10.0.0.227,TCP,210
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,UDP,117
10.0.0.10,10.0.0.227,UDP,183
10.0.0.227,10.0.0.10,TCP,54
10.0.0.10,10.0.0.227,TCP,54
10.0.0.10,10.0.0.227,TCP,54
10.0.0.227,10.0.0.10,TCP,66
10.0.0.10,10.0.0.227,TCP,66
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,1514
10.0.0.227,10.0.0.10,TCP,63
10.0.0.10,10.0.0.227,TCP,54
10.0.0.10,10.0.0.227,TCP,1514
10.0.0.10,10.0.0.227,TCP,76
10.0.0.227,10.0.0.10,UDP,184
10.0.0.10,10.0.0.227,UDP,212
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,54
10.0.0.10,10.0.0.227,TCP,54
10.0.0.10,10.0.0.227,TCP,54
10.0.0.227,10.0.0.10,TCP,1514
10.0.0.227,10.0.0.10,TCP,1514
10.0.0.10,10.0.0.227,TCP,54
10.0.0.227,10.0.0.10,TCP,357
10.0.0.10,10.0.0.227,TCP,314
10.0.0.227,10.0.0.10,TCP,204
10.0.0.10,10.0.0.227,TCP,138
10.0.0.227,10.0.0.10,TCP,182
10.0.0.10,10.0.0.227,TCP,274
10.0.0.227,10.0.0.10,TCP,66
10.0.0.10,10.0.0.227,TCP,66
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,54
10.0.0.227,10.0.0.10,TCP,269
10.0.0.10,10.0.0.227,TCP,54
10.0.0.10,10.0.0.227,TCP,54
10.0.0.10,10.0.0.227,TCP,143
